Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
900000,1.4057461,0.029175147,999,0.535360673,0.535360673,1
,,,,,,
910000,1.4053721,0.025242856,999,0.499600979,0.499600979,1
,,,,,,
920000,1.405182,0.02035917,999,0.052103499,0.052103499,1
,,,,,,
930000,1.4047078,0.024619695,999,0.09472667,0.09472667,1
,,,,,,
940000,1.4043318,0.020312557,999,1.063887198,1.063887198,1
,,,,,,
950000,1.4040257,0.029371895,999,0.279739775,0.279739775,1
,,,,,,
960000,1.4036847,0.041796118,999,1.170101961,1.170101961,1
,,,,,,
970000,1.4031258,0.041164346,999,0.168746098,0.168746098,1
,,,,,,
980000,1.4020996,0.049415663,999,1.14277186,1.14277186,1
,,,,,,
990000,1.4016732,0.061569486,999,0.819869429,0.819869429,1
,,,,,,
1000000,1.4005452,0.06347144,999,3.309224025,3.309224025,1
,,,,,,
1010000,1.4002868,0.061849058,999,2.777368805,2.777368805,1
,,,,,,
1020000,1.3990595,0.09317132,999,3.511976702,3.511976702,1
,,,,,,
1030000,1.3988802,0.097320125,999,4.18497148,4.18497148,1
,,,,,,
1040000,1.3963815,0.13724187,999,4.160004531,4.160004531,1
,,,,,,
1050000,1.3963815,0.14868823,999,3.558630471,3.558630471,1
,,,,,,
1060000,1.3939883,0.15205497,999,3.589542848,3.589542848,1
,,,,,,
1070000,1.3939139,0.16231279,999,5.583451114,5.583451114,1
,,,,,,
1080000,1.393338,0.24716645,999,6.753824088,6.753824088,1
,,,,,,
1090000,1.3932534,0.26666063,999,8.700665967,8.700665967,1
,,,,,,
1100000,1.391289,0.26748124,999,7.103851383,7.103851383,1
,,,,,,
1110000,1.3906728,0.32204694,999,6.549616775,6.549616775,1
,,,,,,
1120000,1.3894275,0.33272907,999,7.998995099,7.998995099,1
,,,,,,
1130000,1.3888322,0.4569691,999,11.8303911,11.8303911,1
,,,,,,
1140000,1.3874784,0.49153548,999,8.939952785,8.939952785,1
,,,,,,
1150000,1.3864135,0.54389775,999,11.64607825,11.64607825,1
,,,,,,
1160000,1.3852133,0.5464943,999,12.04175221,12.04175221,1
,,,,,,
1170000,1.3838488,0.6504971,999,12.44290226,12.44290226,1
,,,,,,
1180000,1.3827243,0.70534265,999,15.22301316,15.22301316,1
,,,,,,
1190000,1.3808473,0.7272611,999,12.83565307,12.83565307,1
,,,,,,
1200000,1.380353,0.8068633,999,17.71695005,17.71695005,1
,,,,,,
1210000,1.3789717,0.8869937,999,18.35923862,18.35923862,1
,,,,,,
1220000,1.3784974,0.8337059,999,14.62984877,14.62984877,1
,,,,,,
1230000,1.3762367,0.96249765,999,15.017679,15.017679,1
,,,,,,
1240000,1.3761483,0.9338822,999,20.05080575,20.05080575,1
,,,,,,
1250000,1.3746891,0.9618906,999,18.59881902,18.59881902,1
,,,,,,
1260000,1.3746891,1.079663,999,20.83477736,20.83477736,1
,,,,,,
1270000,1.3737051,1.1189605,999,18.40995318,18.40995318,1
,,,,,,
1280000,1.3736743,1.1274664,999,16.48973161,16.48973161,1
,,,,,,
1290000,1.3724236,1.3085333,999,24.47184769,24.47184769,1
,,,,,,
1300000,1.3722407,1.1966026,999,17.55826895,17.55826895,1
,,,,,,
1310000,1.3705333,1.3287138,999,19.33761341,19.33761341,1
,,,,,,
1320000,1.3700181,1.4083717,999,24.12437861,24.12437861,1
,,,,,,
1330000,1.3686835,1.41766,999,22.43838235,22.43838235,1
,,,,,,
1340000,1.3680363,1.5045102,999,24.29960961,24.29960961,1
,,,,,,
1350000,1.3669214,1.6124591,999,32.39526873,32.39526873,1
,,,,,,
1360000,1.3661181,1.5758139,999,26.06081153,26.06081153,1
,,,,,,
1370000,1.3650966,1.6361306,999,23.52891845,23.52891845,1
,,,,,,
1380000,1.3639085,1.6607926,999,20.60809896,20.60809896,1
,,,,,,
1390000,1.3632668,1.707129,999,22.01026137,22.01026137,1
,,,,,,
1400000,1.3622168,1.747244,999,23.40112657,23.40112657,1
,,,,,,
1410000,1.3618398,1.816357,999,23.59395872,23.59395872,1
,,,,,,
1420000,1.3607438,1.8334545,999,26.0000613,26.0000613,1
,,,,,,
1430000,1.3605624,1.9380773,999,27.79385638,27.79385638,1
,,,,,,
1440000,1.3596853,2.0776477,999,28.74451259,28.74451259,1
,,,,,,
1450000,1.3595438,2.0143313,999,27.90207242,27.90207242,1
,,,,,,
1460000,1.3576983,2.116423,999,27.80319546,27.80319546,1
,,,,,,
1470000,1.3576983,2.0965347,999,25.57527828,25.57527828,1
,,,,,,
1480000,1.3572277,2.293117,999,31.13885602,31.13885602,1
,,,,,,
1490000,1.3572235,2.21849,999,23.72221118,23.72221118,1
,,,,,,
1500000,1.35571,2.2943263,999,27.29504656,27.29504656,1
,,,,,,
1510000,1.3554708,2.2702925,999,28.3580001,28.3580001,1
,,,,,,
1520000,1.3546001,2.317457,999,27.47268846,27.47268846,1
,,,,,,
1530000,1.3543574,2.3130069,999,26.55513882,26.55513882,1
,,,,,,
1540000,1.3540033,2.3797193,999,31.96568206,31.96568206,1
,,,,,,
1550000,1.3538228,2.3316343,999,26.33829413,26.33829413,1
,,,,,,
1560000,1.3528447,2.444995,999,28.30399179,28.30399179,1
,,,,,,
1570000,1.3521063,2.4838982,999,34.37908127,34.37908127,1
,,,,,,
1580000,1.3518714,2.4773417,999,25.96116329,25.96116329,1
,,,,,,
1590000,1.351605,2.6740956,999,28.2656481,28.2656481,1
,,,,,,
1600000,1.351131,2.6391819,999,33.32712699,33.32712699,1
,,,,,,
1610000,1.350279,2.6757245,999,30.7255711,30.7255711,1
,,,,,,
1620000,1.3496294,2.684147,999,27.95551828,27.95551828,1
,,,,,,
1630000,1.3479067,2.7988749,999,31.99034246,31.99034246,1
,,,,,,
